Date,Temperature_Max (°C),Temperature_Min (°C),Humidity (%),Rainfall (mm),PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),Seismic Activity (Richter),Wind Speed (km/h),Visitors,Biological Growth (%),Soil Erosion (mm/year)
01-01-2000,31.5,15,70.9,57.1,112.9,95.5,48.3,2.5,9.8,640,35.1,1.9
02-01-2000,35.3,19.2,75,185,17.6,152.1,35.9,2.8,25.9,622,11.9,1.07
03-01-2000,39,25.2,58.7,212,28.5,190,54.4,4.5,17.9,278,30.3,1.73
04-01-2000,40,24.9,71.2,14.4,106,91.2,18.4,3.6,13,107,6.6,0.78
05-01-2000,33.8,26,89.5,22,128,37.9,29.4,2.9,16.3,246,26.2,1.27
06-01-2000,43.8,27.1,81.1,47.8,82.5,180.7,31.5,4,29.4,457,8.3,2.98
07-01-2000,41.3,19.5,40,80.9,32.7,113.3,37.1,4.8,26.1,864,11.4,2.86
08-01-2000,36.3,17.2,59.6,79.1,99.8,190.3,69.6,3.7,7.4,680,14.6,0.71
09-01-2000,30.9,20,70,50.6,131.5,149.5,58.4,2.4,5.1,690,15.4,2.95
10-01-2000,41.6,23.8,61.4,174.9,16.5,29.2,54.7,3.6,24.2,296,39.7,1.74
11-01-2000,27.4,18,55.4,232.2,10.6,186.2,19.9,2.7,24.2,633,14.5,2.82
12-01-2000,25.3,29,44.5,157.7,67.3,193.5,77.1,3.7,8.6,100,10.8,1.17
13-01-2000,44.2,23.1,78.7,270.2,120.5,109.5,15.9,2.6,7.3,817,19.9,1.61
14-01-2000,37.4,24.2,48.3,37.5,59.8,149.2,68.1,2.2,11.2,749,39.5,0.95
15-01-2000,38.1,18.9,80.9,65,102.4,50.3,75.4,5.4,19.7,271,14.2,1.69
16-01-2000,34.4,22.5,83.2,60.8,99.8,119.6,59.4,3,5.7,984,5.4,2.42
17-01-2000,40.9,28.3,59.9,269.8,55.6,196.9,64.3,5.1,8.9,363,25.1,2.29
18-01-2000,37.9,24.2,53.5,167.1,117.3,133.4,67.8,2.9,17.8,538,25.1,2.23
19-01-2000,28.5,16.1,84.4,136.3,24.4,189.7,54.7,4.6,6.8,112,26.9,1.15
20-01-2000,36,24.9,50.3,174.6,36.4,83.2,70.5,4.7,5.5,740,18.7,2.96
21-01-2000,29.1,23.4,82.8,29.4,147.4,117.4,55.3,4.2,27,931,35.1,2.67
22-01-2000,44.9,29.8,54.6,212.7,106.4,117.8,35.8,5.8,23,291,35.9,0.97
23-01-2000,39.7,27.2,87.1,214.8,94.1,155.8,15.1,2.8,27.3,937,49.9,2.31
24-01-2000,29.8,23.9,65.9,126.5,136.9,36.2,76.3,2.1,20.1,451,41.8,2.26
25-01-2000,26.2,22.6,68.8,43.3,111.6,58.1,29.9,3,9.9,109,42.5,1.42
26-01-2000,29.8,27.9,81.8,16.9,13,87,36.7,3.7,23,364,5.9,1.69
27-01-2000,42.2,16.5,50.4,119.7,28.9,79.9,59.1,3.9,18.7,135,13.3,1.12
28-01-2000,34.5,18.4,70.2,48,54.4,89,63.7,5.7,9.4,342,46.7,1.32
29-01-2000,39.5,23.7,86.6,80.3,123.5,148.6,62.8,6,25.8,468,45.1,2.26
30-01-2000,29,26,45,148.1,77.1,66.3,10.8,2.9,20,458,40.6,1.35
31-01-2000,35.6,22.9,63.4,257.4,106.2,102.4,18.4,5.6,9,504,48.1,1.42
01-02-2000,41.7,16.3,63.9,51.7,54.1,35.5,54.6,3,21.2,601,39.2,1.65
02-02-2000,39.9,16.6,62.3,60.4,12.5,32.9,76.6,2.7,7.8,286,41.5,2.84
03-02-2000,29.6,25,46.7,17.8,34.7,163.2,73.8,2.2,11.4,206,38.3,1.9
04-02-2000,38.2,26.6,83.7,109.2,79.6,162.8,77.5,5.3,11.7,417,37,1.98
05-02-2000,29.5,28.8,78.8,41.9,64.8,103.8,31.5,4.9,19.2,585,38,2.76
06-02-2000,30.8,26.2,59.4,187.4,102.9,60.4,22.1,2.8,6.4,740,28.7,2.43
07-02-2000,31.7,16.1,62,222.8,77.6,168.3,76.1,2.1,23.4,598,23.5,1.84
08-02-2000,39.9,15.2,68.6,206.7,43.8,183.9,77.6,5.9,15,549,37.7,0.62
09-02-2000,36,29.5,75.6,221.1,106.9,139.2,71,2.4,25.7,767,33.8,1.36
10-02-2000,40.6,28.9,81.2,11.9,135.7,110.2,69.5,3.4,14.2,802,19,1.2
